#name|pos.x|pos.y|reach|pop100k|prm.r|prm.g|prm.b|sec.r|sec.g|sec.b
Air Force|551|279|3|19|0|0|224|192|192|192
Alabama|724|337|4|71|160|0|24|160|160|160
Arizona|490|347|3|39|0|0|96|255|0|0
Arizona State|480|335|4|44|128|0|0|255|192|0
Arkansas|657|309|4|49|160|0|24|255|255|255
Army|860|255|3|21|8|8|8|160|160|0
Auburn|744|343|4|59|0|0|96|255|128|0
Baylor|628|354|3|33|0|64|0|160|160|0
Boise State|437|233|3|25|0|0|160|255|128|0
Boston College|887|246|3|26|160|0|24|160|160|0
Brown|885|251|2|11|96|64|32|255|0|0
BYU|483|267|4|44|0|0|160|255|255|255
Cal|377|291|4|44|0|0|96|255|255|0
Cincinnati|754|278|3|32|8|8|8|255|0|0
Clemson|771|323|4|54|255|128|0|96|0|192
Colorado|547|269|3|37|8|8|8|160|160|0
Colorado State|548|264|3|24|0|64|0|160|160|0
Columbia|860|261|3|27|128|192|255|0|0|96
Cornell|834|245|3|20|255|0|0|255|255|255
Dartmouth|876|232|2|14|0|128|0|255|255|255
Delaware|842|273|3|17|0|0|160|255|255|0
Duke|810|309|3|34|0|0|160|255|255|255
East Carolina|826|313|3|33|128|0|128|255|255|0
Florida|776|373|4|67|0|0|160|255|128|0
Florida State|756|365|4|56|160|0|24|160|160|0
Fresno State|402|301|3|20|255|0|0|0|0|160
Georgetown|828|280|2|8|0|0|96|192|192|192
Georgia|765|330|4|65|255|0|0|8|8|8
Georgia Southern|781|345|3|17|0|0|96|255|255|255
Georgia Tech|755|332|3|38|160|160|0|0|0|96
Harvard|888|246|4|82|160|0|24|224|224|200
Hawaii|21|456|3|19|0|128|0|8|8|8
Houston|646|372|3|33|255|0|64|255|255|255
Idaho|429|202|2|6|8|8|8|160|160|0
Illinois|717|268|4|43|255|128|0|0|0|96
Indiana|734|278|3|40|160|0|24|255|255|255
Iowa|684|253|4|51|8|8|8|255|192|0
Iowa State|663|249|3|41|160|0|24|255|192|0
Kansas|647|280|3|25|0|0|160|255|0|0
Kansas State|633|277|3|37|96|0|192|192|192|192
Kentucky|754|289|3|41|0|0|160|255|255|255
Louisiana Tech|673|344|2|15|0|0|160|255|0|0
Louisville|742|287|3|40|255|0|0|8|8|8
LSU|687|365|4|69|128|0|128|255|255|0
Maine|913|220|2|7|0|0|96|128|192|255
Marshall|775|285|3|18|0|128|0|255|255|255
Maryland|830|280|3|33|255|0|0|255|255|0
Memphis|700|318|3|27|0|0|160|192|192|192
Miami|796|412|3|41|255|128|0|0|64|0
Michigan|762|247|5|96|0|0|96|255|192|0
Michigan State|754|242|4|60|0|128|0|255|255|255
Minnesota|667|220|3|42|128|0|0|255|192|0
Mississippi State|711|335|3|40|128|0|0|255|255|255
Missouri|676|280|3|40|8|8|8|255|192|0
Montana|459|201|3|18|128|0|0|192|192|192
Montana State|489|213|2|14|0|0|96|160|160|0
Navy|834|280|3|20|0|0|96|160|160|0
NC State|812|312|4|44|255|0|0|255|255|255
Nebraska|632|261|4|62|255|0|0|255|255|255
Nevada|401|274|3|16|0|0|96|192|192|192
New Hampshire|890|238|2|10|0|0|96|192|192|192
New Mexico|533|319|3|18|255|0|64|192|192|192
New Mexico State|532|347|2|9|128|0|0|255|255|255
North Carolina|809|310|3|42|128|192|255|0|0|96
North Dakota|628|190|2|9|0|128|0|8|8|8
North Dakota State|631|200|2|14|0|64|0|255|255|0
Northwestern|722|249|4|44|96|0|192|8|8|8
Notre Dame|737|252|4|72|0|0|96|160|160|0
Ohio State|769|269|4|83|255|0|0|192|192|192
Oklahoma|625|317|4|61|160|0|24|255|255|255
Oklahoma State|628|308|3|39|255|128|0|8|8|8
Ole Miss|704|326|4|45|255|0|0|0|0|96
Oregon|368|229|3|39|0|128|0|255|255|0
Oregon State|366|224|3|31|8|8|8|255|128|0
Penn|847|270|3|21|0|0|96|255|0|0
Penn State|821|261|4|73|0|0|96|255|255|255
Pitt|800|265|3|40|0|0|160|255|192|0
Princeton|853|266|2|11|8|8|8|255|128|0
Purdue|730|265|3|33|8|8|8|160|160|0
Rhode Island|884|255|2|6|128|192|255|0|0|96
