#american cities
#name|pos.x|pos.y|reach|pop100k|col.r|col.g|col.b
Abilene|601|344|2|2|0|0|0
Albany|861|242|2|2|0|0|0
Albuquerque|532|317|3|12|0|0|0
Alexandria, LA|674|355|2|2|0|0|0
Amarillo|580|316|2|3|0|0|0
Anchorage|100|56|2|4|0|0|0
Anniston-Gadsden|739|330|2|2|0|0|0
Atlanta|754|331|5|62|0|0|0
Atlantic City|854|275|2|3|0|0|0
Augusta, GA|778|335|3|6|0|0|0
Augusta, ME|901|225|1|1|0|0|0
Austin|621|365|4|19|0|0|0
Bakersfield|408|315|3|9|0|0|0
Bangor|911|220|2|2|0|0|0
Barrie|801|225|2|2|0|0|0
Baton Rouge|687|364|3|8|0|0|0
Battle Creek|747|245|2|2|0|0|0
Bay Area|374|291|5|83|0|0|0
Billings|513|210|2|2|0|0|0
Birmingham|730|333|3|13|0|0|0
Bismark|591|200|1|1|0|0|0
Boise|436|232|3|7|0|0|0
Boston|888|245|5|75|0|0|0
Brownsville|624|408|2|4|0|0|0
Buffalo|810|239|3|12|0|0|0
Burlington|866|224|2|2|0|0|0
Calgary|458|158|3|14|0|0|0
Cape Girardeau|703|295|1|1|0|0|0
Casper|535|240|1|1|0|0|0
Charleston, SC|799|340|3|7|0|0|0
Charleston, WV|782|285|3|7|0|0|0
Charlotte|790|316|4|25|0|0|0
Chattanooga|746|318|3|9|0|0|0
Chicago|722|250|5|99|0|0|0
Cincinnati|753|277|4|22|0|0|0
Cleveland|782|254|4|35|0|0|0
Columbia, MO|675|279|2|2|0|0|0
Columbia, SC|789|328|3|9|0|0|0
Columbus, GA|750|343|2|5|0|0|0
Columbus, OH|769|269|4|24|0|0|0
Corpus Christi|627|391|2|5|0|0|0
Colorado Springs|551|280|3|7|0|0|0
Dallas-Ft. Worth|627|341|5|74|0|0|0
Davenport|692|253|2|5|0|0|0
Dayton|756|271|3|11|0|0|0
DC-Baltimore|830|277|5|95|0|0|0
Denver|550|271|4|33|0|0|0
Des Moines|662|253|3|8|0|0|0
Detroit|767|245|5|53|0|0|0
Dodge City|598|291|1|1|0|0|0
Dothan|745|356|2|3|0|0|0
Duluth|677|201|2|3|0|0|0
Edmonton|464|133|3|13|0|0|0
El Paso|534|350|3|11|0|0|0
Erie|798|247|2|4|0|0|0
Fargo|630|200|2|3|0|0|0
Flagstaff|482|316|1|1|0|0|0
Fresno|401|301|3|11|0|0|0
Ft Myers|778|402|3|10|0|0|0
Ft. Wayne|747|257|3|6|0|0|0
Gainesville|775|372|2|3|0|0|0
Grand Island|615|259|1|1|0|0|0
Grand Rapids|742|239|3|14|0|0|0
Green Bay|719|223|2|4|0|0|0
Greenville, NC|825|312|2|2|0|0|0
Halifax|963|222|2|2|0|0|0
Harrisburg|830|266|3|12|0|0|0
Hartford|872|251|3|15|0|0|0
Hattiesburg|705|355|2|2|0|0|0
Honolulu|20|455|3|10|0|0|0
Houston|645|371|5|67|0|0|0
Huntsville|733|321|3|7|0|0|0
Indianapolis|737|271|4|24|0|0|0
Jackson|696|345|3|7|0|0|0
Jacksonville|782|365|3|15|0|0|0
Kalamazoo|743|245|2|3|0|0|0
Kansas City|653|277|4|24|0|0|0
Kelowna|404|170|2|2|0|0|0
Kennewick|407|206|2|3|0|0|0
Kingsport|774|304|2|5|0|0|0
Kingston|834|226|2|2|0|0|0
Kitchener|794|234|2|5|0|0|0
Knoxville|759|309|3|11|0|0|0
Lansing|753|241|2|5|0|0|0
Lethbridge|470|171|1|1|0|0|0
Lexington|754|288|3|7|0|0|0
Little Rock|675|321|3|9|0|0|0
London|786|238|2|5|0|0|0
Los Angeles|414|328|6|185|0|0|0
Louisville|742|287|3|15|0|0|0
Lubbock|580|333|2|3|0|0|0
Macon|764|343|2|4|0|0|0
Madison|704|238|3|8|0|0|0
Manchester|884|239|2|4|0|0|0
McAllen|616|406|3|9|0|0|0
Memphis|699|317|3|14|0|0|0
Miami|796|411|5|67|0|0|0
Midland|577|348|2|3|0|0|0
Milwaukee|719|238|4|20|0|0|0
Modesto|389|292|3|8|0|0|0
Montgomery|736|345|2|4|0|0|0
Montreal|863|213|4|41|0|0|0
MPGB|717|362|3|14|0|0|0
Myrtle Beach|810|331|2|5|0|0|0
Nashville|731|307|4|19|0|0|0
NC Triad|798|308|4|16|0|0|0
NC Triangle|811|310|4|20|0|0|0
New Orleans|699|368|3|15|0|0|0
New York|859|262|6|236|0|0|0
North Platte|591|257|1|1|0|0|0
Oklahoma City|623|314|3|14|0|0|0
Omaha-Lincoln|635|258|3|13|0|0|0
Orlando|785|384|4|31|0|0|0
Ottawa|841|214|3|13|0|0|0
Peterborough|815|225|1|1|0|0|0
Philadelphia|847|268|5|67|0|0|0
Phoenix|478|333|4|45|0|0|0
Pittsburgh|799|264|4|27|0|0|0
Ponce|932|488|2|4|0|0|0
Portland, OR|372|213|4|31|0|0|0
Portland, ME|896|232|3|6|0|0|0
Prince George|371|129|1|1|0|0|0
Providence|884|250|4|16|0|0|0
Pueblo|552|286|2|2|0|0|0
Quebec City|886|200|3|8|0|0|0
Rapid City|566|228|2|2|0|0|0
Regina|552|164|2|2|0|0|0
Reno|401|274|3|6|0|0|0
Richmond|824|293|3|13|0|0|0
Roanoke|799|296|2|3|0|0|0
Rochester|822|237|3|12|0|0|0
Roswell|553|334|1|1|0|0|0
Sacramento|384|283|4|25|0|0|0
Saginaw|759|234|2|4|0|0|0
Saguenay|888|184|2|2|0|0|0
Saint John|938|216|1|1|0|0|0
Salinas|382|301|2|4|0|0|0
Salisbury|842|285|2|4|0|0|0
Salt Lake|479|261|4|24|0|0|0
San Angelo|594|354|1|1|0|0|0
San Antonio|613|374|4|23|0|0|0
San Diego|427|340|4|33|0|0|0
San Juan|937|484|4|25|0|0|0
San Luis Obispo|392|316|2|3|0|0|0
Santa Barbara|401|324|2|4|0|0|0
Santa Cruz|378|299|2|3|0|0|0
Saskatoon|532|147|2|3|0|0|0
Savannah|787|348|2|5|0|0|0
Seattle|375|192|4|45|0|0|0
Sherbrooke|880|214|2|2|0|0|0
Shreveport|661|344|2|5|0|0|0
Sioux Falls|631|233|2|3|0|0|0
South Bend|736|252|3|7|0|0|0
Space Coast|792|387|3|6|0|0|0
Spokane|424|192|3|7|0|0|0
Springfield, MA|873|247|3|7|0|0|0
Springfield, MO|666|296|2|5|0|0|0
St. George|463|297|2|2|0|0|0
St. John's|1071|193|2|2|0|0|0
St. Louis|696|282|4|29|0|0|0
Sudbury|789|203|2|2|0|0|0
Syracuse|837|238|3|7|0|0|0
Tallahassee|756|364|2|4|0|0|0
Tampa Bay|773|391|4|39|0|0|0
Texarkana|658|334|2|2|0|0|0
Thunder Bay|706|184|1|1|0|0|0
Tidewater|837|300|4|18|0|0|0
Toledo|763|252|3|6|0|0|0
Toronto-Hamilton|805|232|5|67|0|0|0
Tucson|490|347|3|11|0|0|0
Tulsa|639|307|3|11|0|0|0
Tupelo|711|326|1|1|0|0|0
Twin Cities|667|219|4|38|0|0|0
Tyler|645|345|2|3|0|0|0
Upstate SC|777|320|3|14|0|0|0
Valdosta|766|360|2|2|0|0|0
Vancouver, BC|367|176|4|26|0|0|0
Vegas|446|306|4|23|0|0|0
Victoria|628|380|2|4|0|0|0
Visalia|405|305|3|6|0|0|0
Waco|627|353|2|3|0|0|0
Wichita|625|291|3|7|0|0|0
Winnipeg|627|169|3|8|0|0|0
Wyo Valley|841|255|3|6|0|0|0
Yakima|393|202|2|2|0|0|0
Yuma|452|341|2|2|0|0|0
Missoula|458|200|1|1|0|0|0
Great Falls|486|193|1|1|0|0|0
Butte|473|208|1|1|0|0|0
Bozeman|488|212|1|1|0|0|0
Idaho Falls|478|233|2|2|0|0|0
Topeka|642|278|2|2|0|0|0
Twin Falls|454|243|1|1|0|0|0
Eugene|368|228|2|4|0|0|0
Redding|375|263|2|3|0|0|0
Elko|441|260|1|1|0|0|0
Farmington, NM|516|301|2|2|0|0|0
Grand Junction|513|278|2|2|0|0|0
Fairbanks|121|20|1|1|0|0|0
Juneau|254|85|1|1|0|0|0
Terrace|312|123|1|1|0|0|0
Sydney, NS|997|207|1|1|0|0|0
Peoria|703|261|2|4|0|0|0
Rockford|708|246|2|5|0|0|0
Springfield, IL|702|271|2|3|0|0|0
Champaign-Urbana|716|267|2|2|0|0|0
Bloomington, IL|709|264|2|2|0|0|0
Cheyenne|550|257|1|1|0|0|0
Lancaster, PA|835|268|2|5|0|0|0
Fayetteville, AR|657|308|3|6|0|0|0
Cedar Rapids, IA|682|249|2|4|0|0|0
Kileen|621|357|2|4|0|0|0
Hickory, NC|785|311|2|4|0|0|0
Appleton-Oshkosh|713|227|2|4|0|0|0
Clarksville|725|303|2|3|0|0|0
Wausau|702|219|2|3|0|0|0
Medford, OR|370|245|2|3|0|0|0
Utica-Rome|845|237|2|3|0|0|0
Longview|651|343|2|3|0|0|0
Fort Smith|654|315|2|3|0|0|0
Wilmington, NC|819|326|2|3|0|0|0
Laredo|604|393|2|3|0|0|0
Bloomsburg|834|258|2|3|0|0|0
PCDFWB|738|365|2|5|0|0|0
