#name|pos.x|pos.y|reach|pop100k|prm.r|prm.g|prm.b|sec.r|sec.g|sec.b
Air Force|550|278|3|30|0|0|224|192|192|192
Alabama|723|336|5|102|160|0|24|160|160|160
Arizona|489|346|4|48|0|0|96|255|0|0
Arizona State|479|334|4|70|128|0|0|255|192|0
Arkansas|656|308|4|70|160|0|24|255|255|255
Army|859|254|3|33|0|0|0|160|160|0
Auburn|743|342|4|87|0|0|96|255|128|0
Baylor|627|353|4|46|0|64|0|160|160|0
Boise State|436|232|3|34|0|0|160|255|128|0
Boston College|886|245|3|32|160|0|24|160|160|0
Brown|884|250|3|32|96|64|32|255|0|0
BYU|482|266|4|59|0|0|160|255|255|255
Cal|376|290|4|47|0|0|96|255|255|0
Cincinnati|753|277|4|44|0|0|0|255|0|0
Clemson|770|322|4|81|255|128|0|96|0|192
Colorado|546|268|4|47|0|0|0|160|160|0
Colorado State|547|263|3|33|0|64|0|160|160|0
Columbia|859|260|4|90|128|192|255|0|0|96
Cornell|833|244|4|57|255|0|0|255|255|255
Dartmouth|875|231|4|45|0|128|0|255|255|255
Delaware|875|231|3|23|0|0|160|255|255|0
Duke|809|308|4|64|0|0|160|255|255|255
East Carolina|825|312|4|44|128|0|128|255|255|0
Florida|775|372|4|88|0|0|160|255|128|0
Florida State|755|364|4|77|160|0|24|160|160|0
Fresno State|401|300|3|25|255|0|0|0|0|160
Georgetown|827|279|3|18|0|0|96|192|192|192
Georgia|764|329|5|93|255|0|0|0|0|0
Georgia Southern|780|344|3|21|0|0|96|255|255|255
Georgia Tech|754|331|4|48|160|160|0|0|0|96
Harvard|887|245|7|345|160|0|24|224|224|200
Hawaii|20|455|3|24|0|128|0|0|0|0
Houston|645|371|4|43|255|0|64|255|255|255
Idaho|428|201|4|56|0|0|0|160|160|0
Illinois|716|267|4|46|255|128|0|0|0|96
Indiana|733|277|4|50|160|0|24|255|255|255
Iowa|683|252|4|70|0|0|0|255|192|0
Iowa State|662|248|4|53|160|0|24|255|192|0
Kansas|646|279|3|28|0|0|160|255|0|0
Kansas State|632|276|4|52|96|0|192|192|192|192
Kentucky|753|288|4|54|0|0|160|255|255|255
Louisiana Tech|672|343|3|20|0|0|160|255|0|0
Louisville|741|286|4|54|255|0|0|0|0|0
LSU|686|364|5|101|128|0|128|255|255|0
Maine|912|219|2|11|0|0|96|128|192|255
Marshall|774|284|3|25|0|128|0|255|255|255
Maryland|829|279|3|40|255|0|0|255|255|0
Memphis|699|317|3|37|0|0|160|192|192|192
Miami|795|411|4|59|255|128|0|0|64|0
Michigan|761|246|5|110|0|0|96|255|192|0
Michigan State|753|241|4|75|0|128|0|255|255|255
Minnesota|666|219|4|48|128|0|0|255|192|0
Mississippi State|710|334|4|58|128|0|0|255|255|255
Missouri|675|279|4|52|0|0|0|255|192|0
Montana|458|200|3|25|128|0|0|192|192|192
Montana State|488|212|3|18|0|0|96|160|160|0
Navy|833|279|3|32|0|0|96|160|160|0
NC State|811|311|4|58|255|0|0|255|255|255
Nebraska|631|260|4|90|255|0|0|255|255|255
Nevada|400|273|3|21|0|0|96|192|192|192
New Hampshire|889|237|2|15|0|0|96|192|192|192
New Mexico|532|318|3|27|255|0|64|192|192|192
New Mexico State|531|346|3|18|128|0|0|255|255|255
North Carolina|808|309|4|50|128|192|255|0|0|96
